Nama Pemilik,Jenis Pemilik,Nomor Polisi,Provinsi,Alamat Pemilik,Nomor HP,Golongan,Jenis Plat,Tgl Transaksi Terakhir,Tgl Jatuh Tempo,Status Kendaraan,Status Kunjungan
UNIVERSITAS MALIKUSSALEH LHOKSEUMAW,Pemerintahan,BL-7015-N,ACEH,JL. TGK CHIK DITIRO NO. 26 KEL. LANCANG GARAM KEC. BANDA SAKTI KO,82267871544,EP,Merah - Kendaraan Pemerintah,2025-09-23,2026-07-12,BELUM LUNAS,BELUM DIKUNJUNGI
UNIVERSITAS MALIKUSSALEH,Pemerintahan,BL-1074-NJ,ACEH,JL. MEDAN-BANDA ACEH KEL. COT TENGKU NIE REULEUT KEC. BANDA SAKTI,8111111111,DP,Merah - Kendaraan Pemerintah,2025-06-13,2026-07-25,BELUM LUNAS,BELUM DIKUNJUNGI
UNIVERSITAS MALIKUSSALEH,Pemerintahan,BL-1016-KY,ACEH,JL MALIKUSSALEH COT TEUNGKU NIE REULEUT DS REULEUT TIMU KEC MUARA,80000,DP,Merah - Kendaraan Pemerintah,2025-01-14,2026-01-02,BELUM LUNAS,SUDAH DIKUNJUNGI
UNIVERSITAS MALIKUSSALEH,Pemerintahan,BL-7073-KB,ACEH,"JL MALIKUSSALEH, COT TEUNGKU NIE REULEUT DESA.REULEUT TIMU KEC.MU",8525655452,EP,Merah - Kendaraan Pemerintah,2025-07-08,2026-02-22,LUNAS,SUDAH DIKUNJUNGI
UNIVERSITAS MALIKUSSALEH,Pemerintahan,BL-1028-NV,ACEH,JL. T. CHIK DITIRO NO. 26 KEL. LANCANG GARAM KEC. BANDA SAKTI KOT,81111111111,DP,Merah - Kendaraan Pemerintah,2025-05-22,2026-05-18,BELUM LUNAS,BELUM DIKUNJUNGI
UNIVERSITAS MALIKUSSALEH,Pemerintahan,BL-2307-KD,ACEH,JL.MEDAB.ACEH KEL.COT TENGKU NIE REULET KEC. MUARA BATU KAB. ACEH,8111111111,C1,Merah - Kendaraan Pemerintah,2025-04-15,2025-12-19,BELUM LUNAS,SUDAH DIKUNJUNGI
SEKRETARIAT DPRK BIREUEN,Pemerintahan,BL-2367-ZB,ACEH,JLN.LAKS.MALAHAYATI NO.I BIREUEN. KEC. KOTA JUANG KAB. BIREUEN,81221112211,C1,Merah - Kendaraan Pemerintah,2024-12-04,2026-01-25,BELUM LUNAS,BELUM DIKUNJUNGI
SEKRETARIAT DPRK ACEH UTARA,Pemerintahan,BL-2588-ND,ACEH,JL. MAYJEN NYAK ADAM KAMIL NO. 1 KEL. SIMPANG EMPAT,8123242526,C1,Merah - Kendaraan Pemerintah,2024-09-13,2025-09-20,BELUM LUNAS,BELUM DIKUNJUNGI
SEKRETARIAT DPRK ACEH UTARA,Pemerintahan,BL-1063-KK,ACEH,JL BANDA ACEH-MEDAN KM 295 DESA MEUNASAH ALUE DRIEN LB KEC LHOKSU,81368110216,DP,Merah - Kendaraan Pemerintah,2025-06-11,2026-06-19,BELUM LUNAS,SUDAH DIKUNJUNGI
SEKRETARIAT DPRK ACEH TENGAH,Pemerintahan,BL-1085-GH,ACEH,JL. YOS SUDARSO NO.10 KOPTA TAKENGON KEC. BEBESEN KAB. ACEH TENGA,82312920094,DP,Merah - Kendaraan Pemerintah,2025-06-02,2026-06-26,BELUM LUNAS,BELUM DIKUNJUNGI
