Nama Pemilik,Jenis Pemilik,Nomor Polisi,Provinsi,Alamat Pemilik,Nomor HP,Golongan,Jenis Plat,Tgl Transaksi Terakhir,Tgl Jatuh Tempo,Status Kendaraan,Status Kunjungan
PT TUAH BINTANG JASA,Perusahaan,BL-8888-NP,ACEH,JL. MERDEKA BARAT NO 98 KEL. MEUNASAH MESJID KEC. MUARA DUA KOTA,81111111111,F,Kuning - Kendaraan Umum,2025-06-10,2026-04-28,BELUM LUNAS,BELUM DIKUNJUNGI
PT TUAH BINTANG JASA,Perusahaan,BL-8503-NN,ACEH,JL. MERDEKA BARAT (DEPAN POLRES) NO. 98 KEL. MEUNASAH MESJID KEC.,81111111111,F,Kuning - Kendaraan Umum,2024-09-30,2025-09-28,BELUM LUNAS,BELUM DIKUNJUNGI
PT TRANSYSKA KAYRA TRAVELO,Perusahaan,BL-7364-NB,ACEH,JL MEDAN-BANDA ACEH KEL. MEUNASAH MEE KEC. MUARA DUA KOTA LHOKSEU,81111111111,EU,Kuning - Kendaraan Umum,2024-12-12,2025-12-06,BELUM LUNAS,BELUM DIKUNJUNGI
PT TRANSYSKA KAYRA TRAVELO,Perusahaan,BL-7367-N,ACEH,JL MEDAN-BANDA ACEH DESA MEUNASAH MEE KEC MUARA DUA KOTA LHOKSEUM,8,EU,Kuning - Kendaraan Umum,2025-07-11,2026-06-26,BELUM LUNAS,BELUM DIKUNJUNGI
PT TIA JAYA BERSAUDARA,Perusahaan,BL-8911-N,ACEH,JALAN STASIUN CUNDA KEL KEUDE CUNDA KEC MUARA DUA KOTA LHOKSEUMAW,8,F,Kuning - Kendaraan Umum,2025-06-25,2026-06-19,BELUM LUNAS,BELUM DIKUNJUNGI
PT TIA JAYA BERSAUDARA,Perusahaan,BL-8644-N,ACEH,JL. STASIUN CUNDA KEL. KEUDE CUNDA KEC. MUARA DUA KOTA LHOKSEUMAW,811687014,F,Kuning - Kendaraan Umum,2025-07-07,2026-06-25,BELUM LUNAS,BELUM DIKUNJUNGI
PT TASPEN PERSERO LSW,Perusahaan,BL-6882-NY,ACEH,JL. MERDEKA KEL. LANCANG GARAM KEC. BANDA SAKTI KOTA LHOKSEUMAWE,85361914073,C1,Hitam - Kendaraan Pribadi,2024-11-21,2025-12-04,BELUM LUNAS,BELUM DIKUNJUNGI
PT TASPEN PERSERO LHOKSEUMAWE,Perusahaan,BL-8205-NF,ACEH,JL. MERDEKA KOTA LHOKSEUMAWE KEC. BANDA SAKTI KOTA LHOKSEUMAWE,85200000000,F,Hitam - Kendaraan Pribadi,2024-10-22,2025-11-02,BELUM LUNAS,BELUM DIKUNJUNGI
PTSURYA MADISTRINDO,Perusahaan,BL-1245-NY,ACEH,JLN.T MAHARAJA NO.42 C.SP ASMI KEL.KUTA BLANG KEC.BANDA SAKTI KOT,85267604710,DP,Hitam - Kendaraan Pribadi,2025-07-03,2026-05-18,BELUM LUNAS,BELUM DIKUNJUNGI
PT SURYA MADISTRINDO,Perusahaan,BL-8345-NF,ACEH,JL. T. MAHARAJA NO. 42 C SIMPANG ASMI DUSUN III KEL. KUTA BLANG K,0,F,Hitam - Kendaraan Pribadi,2024-08-08,2025-08-21,LUNAS,BELUM DIKUNJUNGI
